球员,总分,传球,传中,盯人,罚点球,技术,角球,界外球,盘带,抢断,任意球,射门,停球,头球,远射,才华,防守站位,工作投入,集中,决断,领导力,侵略性,视野,团队合作,无球跑动,意志力,勇敢,预判,镇定,爆发力,弹跳,灵活,耐力,平衡,强壮,速度,体质,稳定,大赛,抗压
朱勒斯·孔德 - 选​择球​员,440.5033333333334,14,13,14,11,14,9,13,14,15,9,13,14,13,13,13,13,16,12,13,12,15,14,15,16,15,15,15,13,15,11,14,16,16,14,15,16,13,15,14
若奥·坎塞洛 - 选​择球​员,413.1391666666667,16,16,9,11,17,13,14,16,13,12,12,16,10,13,16,11,13,11,12,7,15,16,12,14,13,12,15,13,13,10,14,13,14,12,14,12,12,13,10
约恩·加西亚 - 选​择球​员,381.25833333333327,13,3,1,9,12,5,2,2,3,9,1,13,9,2,9,15,12,17,14,12,11,9,12,9,16,14,14,14,12,14,11,13,12,13,12,13,15,14,15
佩德里 - 选​择球​员,429.8933333333334,18,15,9,11,18,12,6,18,11,10,12,18,6,12,16,12,16,15,16,13,12,18,16,14,16,12,16,16,14,8,14,16,13,10,13,16,17,14,14
亚历杭德罗·巴尔德 - 选​择球​员,439.08333333333337,14,13,11,8,14,8,10,15,11,9,10,14,7,11,13,12,14,13,11,10,13,14,14,15,14,13,14,11,17,8,17,15,12,11,17,15,12,13,10
罗纳德·阿劳霍 - 选​择球​员,441.5033333333333,11,7,16,13,12,5,10,10,17,7,11,10,16,10,9,13,17,12,10,15,16,11,16,10,16,18,13,11,14,16,15,15,12,18,16,13,11,9,10
费兰·托雷斯 - 选​择球​员,445.67,13,13,7,12,15,9,7,14,10,10,14,13,14,13,14,8,15,15,14,11,11,13,14,18,17,13,16,14,15,12,16,14,14,12,16,15,12,14,13
帕博罗·帕耶兹·加维拉 - 选​择球​员,412.6491666666667,15,13,12,9,15,12,8,14,14,11,11,14,6,11,14,12,18,15,14,14,19,15,16,16,19,19,15,12,13,7,13,14,15,14,12,15,13,14,14
罗尼·巴尔吉 - 选​择球​员,401.8258333333333,14,14,5,9,15,13,5,15,6,11,13,15,5,14,15,7,12,12,13,8,10,14,12,14,17,13,13,13,13,6,11,12,14,8,13,15,12,13,15
费尔敏 - 选​择球​员,424.715,14,13,8,9,15,10,6,14,10,10,13,15,11,17,15,8,16,14,14,12,14,14,15,16,16,15,14,13,14,9,16,14,14,11,13,14,12,15,15
丹尼·罗德里格斯 - 选​择球​员,380.42999999999995,13,11,5,11,15,12,6,15,7,11,10,14,6,11,17,7,11,10,12,8,8,12,10,14,14,10,10,12,14,2,12,10,11,7,13,14,14,14,14
拉明·亚马尔 - 选​择球​员,462.0066666666668,17,17,5,11,19,14,6,19,6,12,13,19,7,14,19,7,11,14,16,12,9,18,13,15,17,11,15,15,16,9,16,13,15,11,15,14,16,18,16
马克·伯纳尔 - 选​择球​员,389.2758333333333,14,7,10,9,15,6,6,12,11,9,10,14,11,12,14,13,12,12,14,8,11,15,14,12,14,11,12,15,11,14,12,12,13,13,12,13,13,13,16
波·库巴西 - 选​择球​员,422.2241666666667,16,9,14,10,15,6,10,11,14,7,8,15,13,9,12,15,14,16,15,11,13,15,14,10,16,14,16,16,13,13,12,13,14,14,14,14,12,14,15
霍夫雷·托伦茨 - 选​择球​员,388.8666666666667,12,12,11,8,13,6,10,12,12,7,8,13,11,9,12,13,12,11,14,8,13,11,12,11,14,12,12,11,13,11,14,12,12,13,13,14,13,12,12
曼努埃尔·诺伊尔 - 选​择球​员,366.9516666666667,15,6,9,13,14,2,12,12,11,8,7,14,10,7,12,14,15,13,13,17,13,15,15,12,18,13,14,16,8,16,10,10,15,15,8,20,13,17,18
尼古拉斯·杰克逊 - 选​择球​员,440.18583333333333,12,9,8,13,14,8,6,15,9,8,13,13,13,12,14,8,16,12,12,8,16,12,12,15,14,16,15,12,15,14,13,15,14,14,16,12,12,10,8
康拉德·雷默 - 选​择球​员,421.56166666666667,13,12,12,8,12,8,10,12,17,8,8,12,8,12,10,12,20,13,13,13,17,12,19,13,18,18,13,12,14,10,13,17,12,13,15,16,15,16,12
达约特·乌帕梅克诺 - 选​择球​员,457.1991666666666,16,8,17,10,13,3,10,12,17,3,6,13,14,8,12,16,16,13,14,12,16,16,16,9,16,17,16,16,15,16,12,13,16,17,16,12,15,14,12
阿方索·戴维斯 - 选​择球​员,468.16749999999996,12,11,10,12,13,11,14,16,13,11,8,12,9,10,16,10,15,12,12,12,14,12,13,13,17,15,12,12,19,13,19,15,13,11,19,12,13,13,12
哈里·凯恩 - 选​择球​员,464.615,18,12,8,20,17,11,7,14,9,12,19,18,17,17,12,8,12,16,18,17,13,18,16,17,19,15,18,18,12,16,15,16,18,16,13,16,19,11,18
泽格·格纳布里 - 选​择球​员,415.8691666666666,13,12,8,12,15,12,7,15,9,12,15,14,11,15,15,8,12,12,13,13,11,13,13,16,12,12,16,13,15,8,14,13,12,12,14,10,13,13,10
贾马尔·穆西拉 - 选​择球​员,449.15166666666653,15,9,9,12,18,8,6,19,11,8,15,16,13,14,18,9,15,13,14,7,12,15,15,14,16,12,15,15,15,12,15,13,16,10,15,12,15,16,14
迈克尔·奥利塞 - 选​择球​员,455.04,18,17,8,15,18,16,6,18,9,16,15,18,8,16,17,8,13,13,16,8,8,18,12,17,13,12,17,17,15,11,12,15,16,13,14,12,17,16,18
伊藤洋辉 - 选​择球​员,423.3866666666666,15,12,15,7,13,12,14,11,13,12,7,13,13,8,11,15,14,15,13,12,13,14,16,11,16,13,14,16,13,14,15,14,14,13,15,10,16,13,16
路易斯·迪亚斯 - 选​择球​员,459.4191666666666,14,12,8,12,17,11,6,17,9,10,14,17,13,13,16,8,18,12,12,12,15,14,16,16,17,16,16,13,16,12,16,13,15,9,16,16,14,16,15
拉斐尔·格雷罗 - 选​择球​员,388.26416666666665,16,16,9,12,17,14,12,15,10,16,11,17,7,15,16,9,12,10,12,10,8,16,15,16,11,10,13,16,13,6,13,16,12,9,12,10,13,14,10
金民宰 - 选​择球​员,435.4116666666667,14,7,16,7,12,3,8,10,16,3,6,12,15,7,8,16,16,12,12,13,16,13,12,8,18,17,16,13,14,16,14,13,16,16,14,15,13,12,12
利昂·格雷茨卡 - 选​择球​员,436.5824999999999,15,11,12,12,14,10,8,12,14,12,12,14,16,15,12,12,17,14,13,14,15,14,16,16,16,16,16,13,12,16,15,16,16,17,14,12,14,14,12
若纳唐·塔 - 选​择球​员,447.2949999999999,14,7,15,8,12,3,10,10,13,4,6,12,16,8,8,16,15,15,14,16,15,13,16,9,15,16,16,16,12,17,16,13,18,18,16,14,17,13,12
约瑟普·斯塔尼奇 - 选​择球​员,423.43666666666667,13,12,14,8,12,6,12,12,15,6,8,12,14,7,11,14,15,15,13,12,13,13,16,12,15,16,13,13,12,15,15,15,14,14,15,12,16,15,14
乔纳斯·乌尔比西 - 选​择球​员,348.83916666666664,13,4,4,7,13,2,8,8,5,6,4,13,7,5,10,13,12,12,11,12,10,13,13,8,16,13,12,13,8,16,16,11,12,13,10,14,14,13,8
约书亚·基米希 - 选​择球​员,433.99499999999995,18,18,12,15,16,16,14,13,13,15,11,15,12,14,12,13,18,14,16,18,15,18,19,13,20,15,17,17,12,11,16,18,13,12,13,20,19,16,16
汤姆·比绍夫 - 选​择球​员,384.47999999999996,14,15,10,12,14,15,6,13,16,15,10,14,6,16,13,11,17,13,13,12,16,14,16,12,16,16,13,12,12,8,10,16,12,10,10,16,16,12,14
亚历山大·帕夫洛维奇 - 选​择球​员,394.45416666666665,17,13,11,12,15,13,6,12,12,13,8,15,11,12,12,13,13,16,16,10,12,15,16,9,15,13,16,17,11,13,14,17,13,11,12,8,17,16,16
伦纳特·卡尔 - 选​择球​员,395.17999999999995,13,12,6,15,16,13,4,16,6,15,12,16,6,16,16,6,11,10,12,5,7,13,12,12,13,8,12,12,15,5,14,14,12,6,12,12,13,13,12
马泰奥·达米安 - 选​择球​员,398.58583333333337,13,12,14,4,12,5,12,10,14,5,10,13,13,8,5,14,17,17,12,10,13,11,18,13,18,16,14,16,11,12,10,12,14,13,12,16,17,14,18
劳塔罗·马丁内斯 - 选​择球​员,461.71500000000003,12,8,5,15,16,4,4,14,8,5,17,16,16,15,17,7,18,14,14,16,18,12,15,16,19,18,15,15,15,11,14,19,14,13,15,20,16,13,15
卡洛斯·奥古斯托 - 选​择球​员,426.53666666666663,14,14,13,9,14,10,18,12,14,10,12,13,14,13,13,13,15,12,12,9,14,12,14,15,15,14,14,14,15,13,11,14,13,12,15,12,13,12,14
路易斯·恩里克 - 选​择球​员,409.97833333333335,13,15,7,10,14,7,6,14,7,9,11,13,10,12,15,8,12,12,11,10,12,12,13,11,12,12,10,12,15,8,14,13,11,11,15,13,13,12,12
斯特凡·德弗里 - 选​择球​员,407.00750000000005,14,8,16,8,14,4,11,9,15,5,8,13,16,7,12,14,14,13,13,13,13,12,16,8,14,14,16,14,12,15,14,11,14,15,12,16,13,13,14
丹泽尔·邓弗里斯 - 选​择球​员,481.13833333333326,12,13,10,11,12,8,15,12,14,4,14,13,17,13,11,11,14,11,11,11,18,11,13,16,16,14,14,14,17,17,16,15,18,18,18,17,14,14,14
弗朗西斯科·阿切尔比 - 选​择球​员,399.18,12,7,16,7,12,4,6,7,17,4,9,11,16,5,11,14,19,17,13,14,17,11,18,9,20,20,17,14,9,16,10,15,17,18,10,16,17,18,17
彼得·杰林斯基 - 选​择球​员,394.5158333333333,16,14,7,16,17,14,6,12,8,12,12,16,7,15,14,11,11,10,13,10,8,15,15,13,11,10,14,13,13,9,13,13,12,10,13,16,13,11,12
尼科尔·巴雷拉 - 选​择球​员,438.19583333333327,16,13,11,11,15,12,4,14,16,14,12,16,6,14,14,13,18,10,13,14,20,16,17,15,19,18,14,12,15,7,14,17,16,12,14,17,14,16,16
费代里科·迪马科 - 选​择球​员,428.7158333333333,15,19,13,13,15,17,8,11,12,16,12,18,11,17,15,13,16,15,17,15,12,16,18,16,16,16,14,16,14,9,12,13,15,11,14,15,14,14,15
亚历山德罗·巴斯托尼 - 选​择球​员,457.0533333333333,16,14,15,8,14,4,15,12,16,7,10,15,15,8,12,14,16,13,14,12,15,16,17,12,16,17,16,14,14,15,16,14,16,16,16,17,15,14,16
达维德·法拉特西 - 选​择球​员,430.935,14,9,9,12,14,4,5,12,10,6,16,14,12,14,13,11,14,16,16,11,13,12,14,19,15,14,17,18,14,12,14,13,13,11,14,16,14,15,16
马库斯·塞伦 - 选​择球​员,482.5924999999999,13,10,4,13,17,4,4,17,7,5,15,17,13,14,17,6,14,13,14,12,13,13,14,15,13,12,14,15,17,14,17,14,17,17,17,15,15,14,14
约安·邦亚尼 - 选​择球​员,437.06083333333333,13,9,5,14,15,4,4,14,9,6,14,14,13,10,12,9,15,13,13,10,13,14,16,14,13,14,13,12,14,13,16,14,16,16,15,15,13,12,13
安迪·迪乌夫 - 选​择球​员,415.87,13,8,12,11,15,7,8,14,11,8,8,14,11,11,12,12,16,11,11,7,13,13,14,13,12,13,13,12,13,14,16,15,16,13,14,16,12,10,9
亨里克·姆希塔良 - 选​择球​员,406.49249999999995,16,12,10,13,16,11,5,12,13,11,13,16,10,13,14,12,13,14,16,12,14,14,15,15,17,13,16,14,13,8,11,14,13,10,13,18,15,13,14
约瑟夫·马丁内斯 - 选​择球​员,360.2425,11,1,1,3,10,2,3,3,2,2,3,13,4,3,11,15,12,13,11,9,12,13,14,1,12,11,11,12,11,14,18,13,10,10,12,13,15,12,13
扬·索默尔 - 选​择球​员,385.2033333333334,13,4,6,6,12,1,12,7,6,3,4,12,6,7,10,16,13,14,13,15,13,12,15,8,18,15,12,15,11,13,18,12,12,11,11,18,15,18,17
亚恩-奥雷尔·比塞克 - 选​择球​员,434.5825,13,9,14,5,12,4,11,11,16,4,10,13,16,13,11,13,15,10,13,9,10,11,13,11,14,15,14,13,13,17,14,14,18,17,14,16,13,16,15
哈坎·恰尔汗奥卢 - 选​择球​员,399.8675,19,17,10,20,16,19,4,11,13,16,13,17,6,17,16,12,12,14,16,13,11,17,17,12,13,12,16,17,12,7,14,14,12,9,12,15,15,14,16
曼努埃尔·阿坎吉 - 选​择球​员,434.82000000000005,14,8,14,8,12,4,10,11,15,9,7,13,14,11,9,14,13,14,14,11,13,12,14,9,14,16,14,16,14,15,15,17,14,17,15,16,13,13,13
弗朗切斯科·埃斯波西托 - 选​择球​员,434.4741666666667,13,5,6,14,15,4,4,13,8,12,15,14,15,11,14,8,16,14,13,10,17,13,15,15,15,14,13,13,14,15,12,12,16,15,13,14,14,13,14
彼得·苏契奇 - 选​择球​员,405.54249999999996,16,11,10,8,16,11,4,15,12,9,12,16,11,10,16,11,16,12,11,7,11,14,14,13,17,12,13,14,13,12,15,18,12,11,11,18,13,14,17
卢卡·莫德里奇 - 选​择球​员,412.86083333333335,18,15,8,14,19,16,4,16,9,13,11,20,7,13,15,15,14,18,18,16,12,19,16,16,17,14,16,18,12,6,9,11,14,8,11,16,17,18,17
亚历克西斯·塞勒迈克斯 - 选​择球​员,410.2808333333333,15,14,9,7,15,14,8,14,13,11,11,14,9,13,15,11,16,13,12,12,14,14,16,13,16,13,13,11,14,10,12,14,13,8,14,12,16,12,13
柯尼·德温特 - 选​择球​员,412.0283333333335,12,12,15,7,11,7,12,13,14,8,8,12,15,9,11,14,12,12,12,11,9,11,13,8,15,12,14,13,13,15,12,13,14,14,14,16,13,12,11
鲁本·洛夫特斯-奇克 - 选​择球​员,408.8033333333333,14,11,12,12,13,7,13,13,13,9,12,13,14,13,10,13,13,13,13,12,10,12,14,14,14,12,14,14,12,15,12,14,15,17,13,10,12,14,14
菲卡约·托莫里 - 选​择球​员,435.38250000000005,12,7,15,7,11,4,13,9,16,8,7,11,14,7,7,14,14,13,12,12,17,11,13,10,14,14,16,11,16,13,12,16,13,15,16,15,13,14,13
彼得罗·泰拉恰诺 - 选​择球​员,337.2183333333333,10,1,3,5,7,4,1,1,1,7,3,8,9,3,8,14,11,14,8,12,4,8,13,7,13,13,12,13,10,16,16,12,14,12,8,13,12,12,12
马泰奥·加比亚 - 选​择球​员,406.4516666666667,13,8,16,6,13,4,11,8,14,4,8,13,15,7,4,16,13,16,14,14,13,12,15,11,14,15,17,15,12,14,12,15,14,14,12,14,16,13,14
萨穆埃莱·里奇 - 选​择球​员,409.14250000000004,16,11,10,8,15,9,6,12,13,10,9,14,8,12,13,13,14,15,15,11,13,14,16,13,16,15,15,15,13,11,12,15,14,12,13,16,15,13,13
约瑟夫·福法纳 - 选​择球​员,425.39083333333326,14,9,13,9,13,6,9,13,14,6,9,14,12,11,8,16,16,13,14,12,14,13,17,11,15,13,14,14,13,13,14,18,16,15,14,16,15,12,12
圣地亚哥·希门尼斯 - 选​择球​员,414.86583333333334,13,9,7,15,13,8,9,13,6,8,16,11,15,14,13,7,12,15,14,12,11,12,14,14,14,11,16,13,12,12,12,15,16,14,13,13,13,15,12
斯特拉辛加·帕夫洛维奇 - 选​择球​员,402.2391666666666,11,5,15,8,11,5,13,9,16,7,8,11,16,9,5,14,14,13,12,13,16,10,16,9,16,14,14,12,10,17,12,15,13,16,13,15,14,12,15
拉斐尔·莱昂 - 选​择球​员,463.3691666666666,13,13,4,13,16,8,6,17,4,9,14,17,13,13,17,4,8,8,9,10,8,12,12,14,11,8,13,12,18,16,16,13,15,13,17,16,9,8,10
阿尔登·亚沙里 - 选​择球​员,416.2583333333333,14,14,9,9,13,11,4,14,10,10,12,14,5,12,14,12,15,14,14,14,13,14,14,13,16,8,13,14,13,10,15,14,16,16,13,13,15,12,14
阿德里恩·拉比奥特 - 选​择球​员,451.1991666666666,16,14,12,12,15,11,8,14,16,9,13,15,14,15,10,16,16,12,11,14,13,13,17,14,10,14,15,14,13,14,16,18,15,17,16,19,15,15,14
迈克·迈尼昂 - 选​择球​员,361.09166666666675,14,1,1,8,12,1,5,6,13,1,1,12,6,10,6,15,11,13,13,14,12,13,14,1,18,15,16,16,9,15,13,16,14,15,10,16,13,14,16
克里斯托弗·恩库恩库 - 选​择球​员,444.205,14,13,4,15,16,14,4,16,7,16,14,15,10,13,17,6,12,12,12,8,11,13,12,16,15,12,16,15,17,10,16,12,12,11,15,11,15,16,15
佩尔维斯·埃斯图皮纳恩 - 选​择球​员,414.9625,14,14,11,11,13,9,14,13,15,9,9,12,10,13,12,10,16,12,12,10,15,13,15,13,13,13,13,12,14,10,16,18,12,13,14,16,13,12,14
尼克拉斯·弗尔克鲁格 - 选​择球​员,414.58666666666664,13,8,7,19,13,4,6,12,8,12,13,13,15,12,12,7,16,14,13,15,15,13,16,14,16,16,14,14,12,16,12,14,15,16,11,10,13,16,16
克里斯蒂安·普里西奇 - 选​择球​员,431.7933333333333,15,14,3,14,15,15,4,16,7,12,15,16,5,15,16,7,13,14,14,12,12,15,14,18,13,12,15,14,15,8,14,13,14,11,14,13,15,14,12
扎卡里·阿西卡姆 - 选​择球​员,393.5066666666667,11,12,11,6,12,10,12,13,12,6,5,12,9,8,12,12,13,12,11,7,13,11,13,10,13,10,11,12,14,11,15,14,13,10,14,16,11,10,11
达维德·巴特萨吉 - 选​择球​员,392.2408333333333,14,15,13,8,14,14,11,10,11,12,9,12,13,7,6,13,13,14,12,10,11,9,13,10,13,13,14,12,12,13,13,13,12,13,13,14,12,9,12
戴维·奥多格乌 - 选​择球​员,408.5825,11,7,13,6,11,3,10,10,13,3,6,10,13,7,7,12,14,12,10,12,16,9,12,8,16,15,12,9,13,16,14,11,14,15,14,8,15,14,12
弗朗切斯科·卡马尔达 - 选​择球​员,396.18583333333333,11,7,5,13,13,5,6,12,5,5,15,12,13,10,12,6,11,12,9,8,9,12,12,13,15,14,13,12,13,12,11,11,12,10,13,14,11,10,11
亚历克西斯·迈克·阿里斯特 - 选​择球​员,408.1216666666666,16,13,10,14,16,14,4,13,14,13,11,16,10,13,13,14,16,16,16,10,14,15,17,16,16,13,16,17,12,8,12,15,14,12,12,14,14,16,15
多米尼克·索博斯洛伊 - 选​择球​员,439.25666666666666,16,14,8,14,16,15,5,13,11,15,11,16,8,14,15,11,16,14,14,12,12,15,16,15,15,12,14,16,14,10,16,17,14,11,16,18,14,14,15
阿利森 - 选​择球​员,418.21500000000003,14,1,1,5,13,1,3,8,3,2,2,14,7,3,13,17,17,16,16,13,12,12,12,11,19,14,17,16,13,14,17,10,16,14,12,16,17,16,18
弗雷迪·伍德曼 - 选​择球​员,341.97249999999997,7,2,3,10,8,1,3,1,3,1,3,10,7,3,5,16,11,14,11,10,10,6,11,2,12,10,13,11,10,15,9,13,12,12,9,12,12,13,13
杰里米·弗林蓬 - 选​择球​员,434.33916666666664,12,13,9,10,14,10,8,16,11,7,12,12,6,9,16,9,15,10,11,6,14,12,13,15,14,13,12,10,18,6,15,15,12,9,17,16,12,13,12
柯蒂斯·琼斯 - 选​择球​员,415.6133333333333,15,12,10,13,17,11,6,15,10,11,10,16,8,11,14,11,13,13,14,10,13,15,15,15,15,11,14,14,14,9,14,13,16,11,13,14,13,14,15
里斯·威廉姆斯 - 选​择球​员,382.675,11,5,12,9,11,3,14,7,13,6,7,11,13,4,4,13,12,11,10,10,12,7,14,6,12,12,10,12,12,15,13,12,11,13,13,11,12,12,12
欧文·贝克 - 选​择球​员,398.88666666666666,13,13,12,9,13,13,10,13,12,13,8,12,7,9,10,12,14,12,11,7,14,11,14,13,13,13,12,12,14,10,16,14,13,11,13,12,13,12,15
康纳·布拉德利 - 选​择球​员,435.2250000000001,14,15,11,8,14,10,7,14,15,7,9,15,8,8,11,12,16,13,13,12,15,12,16,15,15,14,14,14,16,9,16,15,14,9,16,15,13,12,14
乔·戈麦斯 - 选​择球​员,439.64,13,13,15,1,14,3,16,11,15,4,1,15,15,1,5,15,14,14,14,13,14,7,16,11,12,14,14,14,16,14,16,15,14,15,15,15,14,14,14
维吉尔·范戴克 - 选​择球​员,462.2824999999999,16,4,16,11,16,2,6,9,17,13,8,17,18,5,11,17,15,17,16,18,17,15,17,10,18,14,17,18,14,17,13,14,14,18,14,17,18,18,17
科迪·盖克蓬 - 选​择球​员,435.15249999999986,14,13,8,12,15,14,6,15,8,11,13,15,12,14,14,9,13,13,12,11,11,13,14,14,14,12,14,15,15,13,14,14,15,13,14,12,14,14,15
丹泽尔·格雷文贝尔齐 - 选​择球​员,433.0616666666666,15,11,12,10,16,11,7,15,13,10,9,15,12,10,15,14,15,14,14,7,13,14,15,14,15,13,16,16,15,12,13,15,15,13,14,14,15,15,14
费代里科·基耶萨 - 选​择球​员,436.1491666666667,14,14,7,10,14,10,4,16,6,5,13,15,9,13,16,8,15,12,12,11,16,13,16,15,16,13,13,15,15,8,15,12,13,13,15,11,15,16,16
远藤航 - 选​择球​员,427.0033333333332,14,7,14,11,13,3,8,11,16,5,6,13,15,6,6,15,17,16,14,13,15,12,18,12,17,16,17,15,13,14,13,16,15,12,12,17,17,15,19
伊布拉西玛·科纳特 - 选​择球​员,448.6666666666666,14,5,16,6,14,3,12,13,16,6,5,14,16,4,8,15,15,12,14,12,16,9,15,8,14,16,14,14,14,16,16,14,14,18,15,14,15,15,15
乌戈·艾奇蒂克 - 选​择球​员,458.2416666666666,15,10,6,13,16,6,5,15,7,11,14,16,14,13,16,7,13,12,13,10,12,15,14,15,14,12,15,13,16,14,16,13,16,13,16,12,14,14,12
乔吉·马马达拉什维利 - 选​择球​员,362.8191666666667,12,2,2,1,13,4,2,1,1,6,3,12,8,3,11,14,15,14,13,11,11,11,14,1,14,14,13,13,10,18,14,12,11,15,11,12,15,14,11
安德鲁·罗伯特松 - 选​择球​员,430.7899999999999,14,16,14,7,14,14,13,12,15,9,2,15,10,5,11,13,17,14,13,16,17,12,17,14,16,16,14,15,15,9,14,18,15,12,15,17,13,15,15
弗洛里安·维尔茨 - 选​择球​员,450.5733333333333,18,13,8,14,18,14,3,17,10,13,13,18,7,14,18,7,17,15,15,9,13,18,16,16,17,13,16,16,14,7,16,16,15,10,15,13,17,17,18
亚历山大·萨克 - 选​择球​员,468.2441666666665,13,9,5,16,17,7,6,17,6,8,18,15,12,10,17,6,14,12,14,7,11,15,14,18,15,13,15,16,17,14,15,14,15,12,16,14,15,15,12
穆罕默德·萨拉赫 - 选​择球​员,468.02833333333325,16,17,7,17,17,13,7,16,7,12,17,17,10,15,15,8,16,16,15,14,10,17,16,18,17,9,17,16,15,8,14,17,18,16,15,19,15,16,16
米洛斯·克尔克兹 - 选​择球​员,435.68666666666667,13,14,13,7,14,9,11,13,15,8,7,14,8,10,12,14,17,13,14,7,16,12,16,16,17,16,14,13,16,10,15,16,14,13,15,15,13,13,13
恩佐·费尔南德斯 - 选​择球​员,418.64666666666665,17,13,10,14,16,12,8,13,14,15,14,16,13,16,14,10,16,13,16,13,15,18,15,17,15,13,14,14,12,10,13,16,16,13,12,17,16,13,17
罗梅罗·拉维亚 - 选​择球​员,426.605,14,7,10,5,15,5,5,13,14,11,8,15,7,11,14,11,16,12,13,12,15,14,16,14,16,12,14,15,14,9,15,14,15,15,15,14,12,13,13
若昂·佩德罗 - 选​择球​员,435.5166666666666,14,12,6,18,14,11,6,15,7,11,13,15,11,12,15,7,16,13,13,11,15,14,14,15,15,12,14,15,15,11,14,14,14,13,14,14,14,15,15
图辛·阿德拉比亚尤 - 选​择球​员,423.2325,13,8,13,10,13,8,11,12,14,6,9,13,14,9,13,13,13,13,12,10,9,13,12,8,14,12,13,13,14,17,14,14,14,13,14,15,11,10,13
特雷沃赫·查洛巴赫 - 选​择球​员,441.02000000000004,12,11,14,6,13,6,6,10,16,10,8,14,13,9,12,14,15,14,16,8,12,12,15,8,15,13,14,14,16,15,15,14,14,13,15,15,17,15,14
里斯·詹姆斯 - 选​择球​员,447.4158333333333,12,16,13,12,15,13,9,11,15,14,12,14,14,11,12,15,16,16,17,15,16,11,15,12,17,18,13,16,15,10,15,15,19,20,14,12,16,15,16
科尔·帕尔默 - 选​择球​员,451.6,15,16,6,20,18,13,3,17,8,15,18,19,8,15,16,8,13,12,18,7,8,16,11,13,10,8,15,19,15,13,15,17,16,9,15,13,18,15,9
列维·科尔威尔 - 选​择球​员,437.46666666666664,16,7,14,7,15,3,12,11,15,3,5,14,15,2,6,15,15,16,15,13,12,12,12,11,13,12,13,16,15,15,15,14,15,16,15,14,11,7,10
利亚姆·德拉普 - 选​择球​员,456.53333333333325,12,8,6,15,13,4,10,14,8,8,13,13,10,11,14,7,15,11,11,7,17,9,13,14,16,15,13,13,16,13,17,13,13,16,17,14,14,12,14
罗伯托·桑切斯 - 选​择球​员,376.58000000000004,11,2,1,3,13,5,2,3,3,8,2,11,1,1,9,12,9,10,12,7,8,11,12,2,10,15,11,14,13,18,14,12,12,16,12,12,10,9,11
佩德罗·内托 - 选​择球​员,426.89416666666665,13,14,5,10,16,13,3,18,5,11,13,13,7,13,16,6,16,10,12,7,11,11,11,13,15,11,9,12,16,7,16,12,11,7,16,14,14,12,14
泰迪·沙曼·洛 - 选​择球​员,279.36333333333334,8,2,3,1,3,5,1,2,2,9,2,8,2,2,3,11,10,9,11,7,10,10,10,1,13,11,10,10,8,14,17,11,8,8,5,12,11,8,11
韦斯莱·福法纳 - 选​择球​员,440.44666666666666,12,6,15,9,14,7,7,12,15,4,7,12,16,5,10,15,13,13,16,10,12,12,13,12,16,13,14,14,15,16,16,16,10,15,16,11,15,15,12
伯诺瓦·巴迪亚什勒 - 选​择球​员,438.1025000000001,13,5,15,7,12,3,8,9,15,4,6,13,17,7,9,14,13,12,14,11,10,11,14,6,15,15,14,16,14,17,16,15,15,16,15,15,13,13,14
圣马洛·古斯托 - 选​择球​员,422.74916666666667,12,15,12,6,13,6,10,10,13,6,6,12,10,9,12,11,17,9,14,8,13,11,17,14,14,14,12,12,17,10,16,15,12,12,16,15,11,11,10
马克·库库雷利亚 - 选​择球​员,431.1241666666666,13,13,12,7,14,10,12,11,14,7,12,14,6,8,10,8,18,14,15,13,18,14,15,15,18,16,16,12,16,8,14,16,14,12,14,13,16,14,14
菲利普·约根森 - 选​择球​员,370.13916666666677,13,2,3,2,12,6,2,3,3,9,1,14,8,1,3,16,12,9,10,8,5,8,14,3,7,14,11,9,12,15,15,15,10,16,12,15,10,7,11
米哈伊洛·穆德利克 - 选​择球​员,428.58916666666664,14,13,7,13,11,11,5,14,5,11,9,12,5,10,16,11,12,11,10,8,6,11,11,11,11,12,9,11,17,6,18,12,12,15,18,10,12,14,8
莫伊塞斯·卡伊塞多 - 选​择球​员,442.0199999999999,15,8,13,8,14,5,4,14,18,8,11,14,9,12,14,16,20,15,16,12,15,14,17,13,14,15,15,15,16,9,15,20,12,14,14,18,14,12,10
安德雷伊 - 选​择球​员,407.59916666666663,14,9,14,9,14,8,9,13,14,9,11,13,14,12,15,13,14,13,13,10,13,13,15,12,13,13,13,12,13,12,16,14,13,13,13,14,16,14,11
杰米·拜诺·吉滕斯 - 选​择球​员,430.1716666666666,11,11,7,12,16,11,6,16,7,11,11,13,6,13,16,7,11,10,10,3,10,10,11,12,12,9,12,11,17,7,16,12,12,10,17,10,13,13,8
亚历杭德罗·加尔纳楚 - 选​择球​员,446.5683333333334,12,12,4,14,14,8,3,16,5,10,13,14,5,12,16,6,14,10,8,4,15,9,10,14,14,14,11,13,17,8,16,15,14,10,17,14,11,13,14
乔雷尔·哈托 - 选​择球​员,402.1991666666666,12,12,13,5,14,10,4,10,13,10,7,13,12,12,12,14,13,12,13,14,7,11,16,11,14,14,11,12,14,12,12,14,15,13,14,15,12,13,11
埃斯特维尼奥 - 选​择球​员,411.80999999999995,14,15,5,11,17,12,3,18,5,11,13,14,8,10,16,5,12,10,12,4,8,14,9,13,10,8,14,11,16,7,15,11,15,6,15,9,11,10,10
